id, x, y, isOnEdge
1,	-0.007310833,	0.007310833,    1
2,	0.007310833,	0.007310833,    1
3,	-0.007310833,	-0.007310833,   1
4,	0.007310833,	-0.007310833,   1
5,	-0.009365855,	-0.003997632,   1
6,	-0.010051162,	0,  1
7,	-0.009365855,	0.003997632,    1
8,	-0.003997632,	0.009365855,    1
9,	0,	0.010051162,    1
10,	0.003997632,	0.009365855,    1
11,	0.009365855,	0.003997632,    1
12,	0.010051162,	0,  1
13,	0.009365855,	-0.003997632,   1
14,	0.003997632,	-0.009365855,   1
15,	0,	-0.010051162,   1
16,	-0.003997632,	-0.009365855,   1
17,	-0.004721009,	0.004721009,    0
18,	0,	0.005025592,    0
19,	0.004721009,	0.004721009,    0
20,	-0.005025592,	0,  0
21,	0,	0,  0
22,	0.005025592,	0,  0
23,	-0.004721009,	-0.004721009,   0
24,	0,	-0.005025592,   0
25,	0.004721009,	-0.004721009,   0
